,age,gender,race
0,6,0,0
1,4,1,1
2,1,1,2
3,3,1,1
4,3,1,1
5,3,0,3
6,5,0,4
7,4,1,1
8,2,0,3
9,4,0,4
10,6,0,0
11,3,0,0
12,3,0,5
13,2,0,1
14,7,1,1
15,4,1,3
16,3,1,6
17,5,0,6
18,0,1,2
19,6,0,6
20,3,1,1
21,4,1,4
22,3,1,2
23,4,1,3
24,3,1,3
25,4,1,2
26,6,1,3
27,2,1,3
28,3,0,1
29,3,1,2
30,5,1,2
31,2,1,0
32,6,0,3
33,5,0,4
34,3,0,0
35,7,1,4
36,3,1,5
37,4,0,5
38,6,0,4
39,3,1,5
40,3,0,3
41,2,1,2
42,2,1,6
43,5,0,5
44,2,0,1
45,2,1,1
46,7,0,0
47,1,1,4
48,2,1,6
49,6,1,2
50,1,1,0
51,7,0,5
52,6,0,6
53,4,1,0
54,4,0,6
55,4,0,3
56,3,0,2
57,5,1,5
58,2,1,5
59,2,1,5
60,1,0,0
61,2,0,1
62,5,0,1
63,3,0,6
64,4,0,0
65,4,0,5
66,2,1,5
67,7,0,3
68,6,0,6
69,4,0,1
70,7,1,1
71,4,0,5
72,4,1,5
73,3,1,6
74,4,0,1
75,3,0,6
76,6,1,2
77,3,1,4
78,5,0,5
79,4,0,3
80,4,1,2
81,4,0,1
82,5,0,3
83,2,1,2
84,3,1,3
85,3,1,2
86,3,0,2
87,3,1,6
88,5,0,1
89,6,0,1
90,4,0,5
91,0,1,0
92,4,1,3
93,1,1,5
94,3,0,2
95,4,1,3
96,4,1,3
97,3,1,0
98,4,0,3
99,3,1,0
100,4,0,1
101,4,0,3
102,5,0,1
103,4,0,1
104,6,0,0
105,5,0,2
106,4,1,3
107,8,1,1
108,3,1,4
109,4,0,3
110,5,1,1
111,5,1,5
112,4,0,4
113,4,1,3
114,6,0,2
115,3,1,5
116,4,0,3
117,4,0,3
118,5,0,1
119,7,0,4
120,3,1,3
121,3,1,0
122,4,1,2
123,0,0,1
124,5,0,3
125,4,1,0
126,1,1,3
127,3,1,1
128,2,1,2
129,6,0,3
130,4,1,4
131,1,1,3
132,1,0,5
133,4,0,3
134,5,1,3
135,6,1,1
136,5,0,5
137,6,0,2
138,4,1,0
139,3,1,0
140,2,0,5
141,4,0,0
142,4,0,1
143,8,0,0
144,4,0,3
145,5,0,6
146,5,0,6
147,6,0,6
148,6,0,1
149,3,0,5
150,3,1,2
151,3,0,4
152,3,1,6
153,4,0,3
154,3,0,6
155,3,0,5
156,3,0,3
157,1,0,2
158,4,1,1
159,5,1,2
160,2,1,5
161,4,1,3
162,2,0,6
163,3,1,0
164,6,1,6
165,1,0,0
166,4,1,5
167,3,1,6
168,3,0,0
169,3,1,6
170,4,1,3
171,2,0,6
172,3,1,5
173,7,0,1
174,3,1,1
175,7,1,3
176,4,1,3
177,4,0,3
178,2,1,2
179,4,0,4
180,3,1,5
181,5,0,2
182,3,1,2
183,3,0,3
184,1,0,2
185,6,1,6
186,4,1,4
187,1,1,1
188,1,1,0
189,2,0,0
190,3,1,0
191,2,1,3
192,7,0,3
193,3,0,0
194,5,0,2
195,3,1,4
196,5,1,3
197,2,1,1
198,3,1,5
199,2,0,1
200,5,1,5
201,5,0,2
202,3,0,3
203,3,1,0
204,1,1,6
205,6,1,3
206,3,1,4
207,4,1,1
208,4,1,2
209,1,0,2
210,3,0,6
211,1,0,0
212,6,0,3
213,6,0,3
214,4,1,2
215,6,0,2
216,5,0,1
217,4,1,4
218,4,1,6
219,1,0,5
220,1,1,3
221,4,0,4
222,6,0,5
223,5,1,5
224,5,0,4
225,3,1,6
226,4,0,4
227,3,1,1
228,4,0,5
229,6,0,3
230,4,0,6
231,6,0,4
232,3,0,4
233,5,0,3
234,3,1,0
235,3,1,6
236,4,0,1
237,4,0,6
238,4,1,3
239,3,1,1
240,4,0,3
241,3,1,1
242,5,1,6
243,5,1,2
244,3,1,6
245,3,0,3
246,3,1,1
247,1,0,2
248,2,0,1
249,4,1,0
250,1,0,2
251,3,1,0
252,1,0,6
253,1,0,5
254,8,1,6
255,1,0,0
256,2,1,5
257,1,0,6
258,2,1,5
259,3,0,2
260,4,0,5
261,1,0,2
262,5,1,2
263,2,0,6
264,4,1,3
265,2,0,5
266,5,0,2
267,3,0,5
268,3,1,6
269,3,1,5
270,3,1,6
271,5,0,3
272,4,0,1
273,4,0,2
274,2,0,2
275,1,0,2
276,1,0,1
277,1,1,3
278,3,1,5
279,4,0,3
280,4,0,1
281,5,1,2
282,5,0,0
283,2,1,5
284,4,0,3
285,3,0,6
286,1,0,2
287,3,1,0
288,4,1,2
289,2,0,0
290,6,0,5
291,3,1,3
292,2,0,2
293,1,1,6
294,4,0,5
295,3,1,5
296,4,1,6
297,3,0,3
298,5,0,3
299,1,1,2
300,4,0,4
301,1,1,2
302,3,1,3
303,1,1,4
304,4,1,1
305,6,0,5
306,4,1,0
307,3,0,4
308,5,1,3
309,4,0,4
310,3,1,0
311,3,1,4
312,3,0,2
313,5,0,2
314,4,0,1
315,4,0,5
316,4,1,6
317,5,0,3
318,2,1,1
319,3,1,0
320,1,1,1
321,3,1,3
322,7,0,3
323,5,1,5
324,4,1,0
325,5,0,0
326,1,0,2
327,6,0,1
328,4,0,0
329,3,1,0
330,3,1,3
331,5,1,5
332,3,0,3
333,5,0,3
334,3,1,0
335,4,1,5
336,6,0,3
337,1,0,1
338,3,1,3
339,1,0,3
340,3,1,6
341,5,1,1
342,3,0,1
343,1,1,4
344,3,0,5
345,4,1,3
346,3,0,6
347,0,1,3
348,5,0,1
349,3,0,4
350,4,0,3
351,6,0,2
